"","data","alterosa","betim_centro","cascata","contorno","petrovale","piratininga"
"1","2016-01-01",25.9795924800417,22.6867756169588,12.1657018526872,21.375,20.772026765813,12.3550460836192
"2","2016-01-02",11.7645694963645,9.58333333333333,5.4874879026674,13.5833333333333,5.375,6.28876052618611
"3","2016-01-03",9.62832570301131,5.50032688510348,2.50999260121569,13.875,4.48003293822774,5.54213208023898
"4","2016-01-04",9.57608385934878,8.49847811074029,2.76261213592981,3.66666666666667,2.00069599400634,3.46976987136217
"5","2016-01-05",8.68114571235447,8.58237641588789,3.12037537523378,5.41666666666667,3.05203834624511,5.21192004072534
"6","2016-01-06",16.218148420954,11.4848404329016,4.12509052121586,7.83333333333333,7.12133620034287,8.42408654167835
"7","2016-01-07",13.7917307057365,12.8386807765902,3.50203794622234,7.79166666666667,6.20193058452871,8.0580744142589
"8","2016-01-08",14.5332955076994,8.5,4.33333333333333,7.79166666666667,6.06447923792909,7.75
"9","2016-01-09",9.05124199039934,5.41510325179111,2.79222634358928,5.29166666666667,2.93315180665662,4.62480179561366
"10","2016-01-10",9.41389850276049,7.92948229149918,4.01864927845129,5.55675888682426,2.17557759851358,4.61439781225414
"11","2016-01-11",12.468307771467,10.8799963586384,7.73304986419592,8.75,7.35881555456979,10.691224111179
"12","2016-01-12",7.53725914446126,5.92961742880235,4.9869492361023,7.20833333333333,3.12590241819865,10.7962648298991
"13","2016-01-13",6.81789657229417,3.875,2.48278550972252,3.79465820912868,2.07103880234452,8.04166666666667
"14","2016-01-14",6.19516174797091,3.87793608191076,3.25622141495703,4.22758916229728,2.28688712552844,5.87187824229693
"15","2016-01-15",4.17532312442046,3.15065362298864,2.68764228450004,4.05290150088635,2.52175068436953,12.023579841769
"16","2016-01-16",3.99136533133282,2.67924812045476,2.25385773655679,4.25,4.08380735664717,8.1041001732503
"17","2016-01-17",3.97535083192845,3.1036142606397,1.57473581708773,7.7145439086678,2.49549798230222,2.43918573223311
"18","2016-01-18",7.1288000960405,3.93721047277584,2.51258745926129,3.4895799002117,2.33137019608904,2.17442832152388
"19","2016-01-19",5.83280399637071,6.42756480919449,3.24497412968787,4.09951266692689,5.18259286727719,6.10751099952012
"20","2016-01-20",5.32920796513888,6.22782118767361,1.78235431589704,4.49060611118442,2.77868002811353,3.55375992459541
"21","2016-01-21",9.7023124410149,6.23102674621806,3.47606645697633,2.87812976341231,2.83601117579407,3.07101199845227
"22","2016-01-22",9.46849622004207,6.818927159113,2.96232485924382,5.875,2.94701683983306,6.30478337494062
"23","2016-01-23",12.2904940209725,6.45574219688789,4.72830410598957,4.38000422049422,3.05802250387205,4.49691719454527
"24","2016-01-24",9.08406232548915,7.63517405954597,3.80792240299978,6.23838246288884,3.16902816791103,4.62697108247627
"25","2016-01-25",12.1827460296894,7.93826072494055,5.77657364687533,6.16666666666667,3.28003383195002,7.04166666666667
"26","2016-01-26",7.44305432908865,8.9887442605587,4.65328576010348,6.32624341893098,3.39103949598901,6.01708294699955
"27","2016-01-27",11.01387256983,8.14716222357812,5.10005436730497,6.34346299837804,3.50204516002799,7.83628321728263
"28","2016-01-28",8.18654856465187,6.18340397274246,3.35510012747634,3.13157337613502,3.88491304374394,7.64841535167847
"29","2016-01-29",10.0833333333333,7.90304577346364,4.68059934241383,5.625,4.1135962624557,9.36900258565668
"30","2016-01-30",10.3069719886105,10.5908809830134,5.375,5.41666666666667,3.90116645301271,5.91717735861687
"31","2016-01-31",9.60383365929636,11.130279832118,4.78559359742973,6.95833333333333,4.2524800268344,3.97055602967356
"32","2016-02-01",12.198150697967,13.8539979251827,5.7371036935496,5.53204231854965,7.87990842192846,11.0635419903908
"33","2016-02-02",17.9218104233838,17.35255593138,9.9430548441712,7.29166666666667,9.25,14.3333333333333
"34","2016-02-03",18.3178743773705,14.5416666666667,9.5,7.01371470875511,7.66666666666667,9.45833333333333
"35","2016-02-04",13.7918358283524,16.2176608208835,9.9409182001607,6.54166666666667,10.2848337734204,9.66666666666667
"36","2016-02-05",13.1552257790988,13.8683653153195,7.1033317630064,5.75,4.39212053736142,10.5735257634569
"37","2016-02-06",11.9576727146903,13.470007641141,6.90295493892694,6.48336813302458,6.86961074228018,7.34690207273471
"38","2016-02-07",12.0905879256705,8.90173168192517,5.37672151181326,6.59476560032494,5.68112126615354,4.63653244328386
"39","2016-02-08",9.66289340271157,7.9522499954354,4.0603486723913,5.28002439147136,3.40991157332602,6.70821883781292
"40","2016-02-09",10.8229004194622,13.0938060620093,7.03697141804019,5.41594284904083,6.93175583748436,7.82370769216395
"41","2016-02-10",15.6973540373269,22.013195925464,8.17488710252348,8.45833333333333,9.12038463974305,8.68539509101974
"42","2016-02-11",20.219614429365,18.8335769544032,10.5094111430919,16.6666666666667,13.6140323226549,10.625
"43","2016-02-12",10.6588292597965,7.84740772951236,8.28938390814808,8.29166666666667,6.0371867382082,9.93622855201596
"44","2016-02-13",11.8958195523749,10.5098256611435,6.03689731914516,7.625,5.54313643016952,6.12385493413512
"45","2016-02-14",12.3885722558482,7.83321114808605,4.61662672708467,10.2083333333333,4.26460463719482,6.4879025557514
"46","2016-02-15",11.8333333333333,7.58289861585499,7.34473232093882,8,5.08603046378996,8.54166666666667
"47","2016-02-16",15.4141522502563,9.37166552371665,8.05925904785685,12.3028866878557,7.10004058794287,10.2916666666667
"48","2016-02-17",20.2442370249273,13.940686256924,12.6117199772554,10.4166666666667,8.87003480232373,13.125
"49","2016-02-18",13.993833858498,11.25,9.7956987516977,10.9166666666667,7.94108166456814,10.8359659316974
